date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:48	55/55	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_multiple_tables.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_multiple_tables.css	(from https://designreset.com/cork/ltr/demo3/table_dt_multiple_tables.html)
15:45:48	2718/2718	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_custom.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_custom.css	(from https://designreset.com/cork/ltr/demo3/table_dt_custom.html)
15:45:49	2427/2427	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-9.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-9.jpg	(from https://designreset.com/cork/ltr/demo3/table_dt_custom.html)
15:45:49	450770/450770	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/datatables.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/datatables.js	(from https://designreset.com/cork/ltr/demo3/table_dt_basic.html)
15:45:49	1703/1703	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-14.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-14.jpg	(from https://designreset.com/cork/ltr/demo3/table_dt_custom.html)
15:45:49	2297/2297	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-22.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-22.jpg	(from https://designreset.com/cork/ltr/demo3/table_dt_custom.html)
15:45:50	7386/7386	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-24.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-24.jpg	(from https://designreset.com/cork/ltr/demo3/table_dt_custom.html)
15:45:50	199/199	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_html5.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_html5.css	(from https://designreset.com/cork/ltr/demo3/table_dt_html5.html)
15:45:50	17885/17885	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/dataTables.buttons.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/dataTables.buttons.min.js	(from https://designreset.com/cork/ltr/demo3/table_dt_html5.html)
15:45:51	23960/23960	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/buttons.html5.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/buttons.html5.min.js	(from https://designreset.com/cork/ltr/demo3/table_dt_html5.html)
